species name (Kudrna et al. 2011);full species name (Kudrna et al. 2011);Family;range.size;temp.mean;temp.ci.95.low;temp.ci.95.up;temp.min;temp.max;temp.sd;temp.median;range.ann.temp.mean;range.ann.temp.ci.95.low;range.ann.temp.ci.95.up;range.ann.temp.min;range.ann.temp.max.;range.ann.temp.sd;range.ann.temp.median;precip.mean;precip.ci.95.low;precip.ci.95.up;precip.min;precip.max;precip.sd;precip.median;range.ann.precip.mean;range.ann.precip.ci.95.low;range.ann.precip.ci.95.up;range.ann.precip.min;range.ann.precip.max;range.ann.precip.sd;range.ann.precip.median;gdd.feb.mean;gdd.feb.ci.95.low;gdd.feb.ci.95.up;gdd.feb.min;gdd.feb.max;gdd.feb.sd;gdd.feb.median;gdd.apr.mean;gdd.apr.ci.95.low;gdd.apr.ci.95.up;gdd.apr.min;gdd.apr.max;gdd.apr.sd;gdd.apr.median;gdd.june.mean;gdd.june.ci.95.low;gdd.june.ci.95.up;gdd.june.min;gdd.june.max;gdd.june.sd;gdd.june.median;gdd.aug.mean;gdd.aug.ci.95.low;gdd.aug.ci.95.up;gdd.aug.min;gdd.aug.max;gdd.aug.sd;gdd.aug.median;swc.mean;swc.ci.95.low;swc.ci.95.up;swc.min;swc.max;swc.sd;swc.median
Erebia tyndarus;Erebia tyndarus (Esper, 1781);Nymphalidae;25;4.99;3.68;6.31;0.85;12.52;3.18;3.86;16.59;15.95;17.23;14.44;21.35;1.55;16.21;1231;1161.8;1300.2;944.01;1544;167.64;1218.51;81.89;75.66;88.12;50;107.06;15.09;83.4;9.96;5.6;14.32;0.78;37.14;10.56;4.95;78.98;42.38;115.57;6.83;354.03;88.65;40.05;397.49;281.41;513.56;111.96;1183.43;281.2;281.87;936.46;727.98;1144.93;372.71;2297.1;505.06;722.94;0.68;0.64;0.71;0.45;0.81;0.08;0.68
Erebia zapateri;Erebia zapateri Oberthür, 1875;Nymphalidae;6;10.83;9.74;11.92;9.33;11.94;1.04;10.96;17.76;17.28;18.25;17.12;18.45;0.46;17.81;577.68;529.38;625.99;518.38;638.45;46.03;579.19;43.88;38.38;49.38;38.84;52.13;5.24;42.61;51.12;30.22;72.02;25.53;77.97;19.92;51.17;224.59;154.58;294.61;133.37;294.13;66.71;231.34;801.32;663.57;939.08;617.55;943.77;131.26;818.76;1769.89;1561.15;1978.63;1493.96;2004.82;198.91;1802.25;0.27;0.26;0.29;0.26;0.29;0.01;0.27
Erynnis marloyi;Erynnis marloyi (Boisduval, 1834);Hesperiidae;31;13.54;12.78;14.31;8.77;16.58;2.08;13.77;18.07;17.51;18.63;15.97;21.3;1.53;17.89;685.64;617.63;753.64;486.95;1267.21;185.41;627.9;86.44;71.04;101.85;27.23;194.4;42;83.71;121.01;95.2;146.83;16.7;265.51;70.37;106.3;433.05;373.74;492.36;142.88;737.08;161.7;432.88;1249.6;1153.77;1345.44;730.9;1690.74;261.26;1244.83;2353.19;2218.33;2488.04;1618.39;2923.55;367.64;2362.13;0.35;0.32;0.37;0.24;0.54;0.07;0.34
Erynnis tages;Erynnis tages (Linnaeus, 1758);Hesperiidae;842;9.12;8.92;9.31;-0.91;17.04;2.9;9.09;17.9;17.68;18.11;8.58;24.31;3.16;18.15;807.99;788.63;827.35;315.7;2507.04;286.19;733.83;59.3;57.33;61.26;16.83;223.21;29.04;53.55;51.18;47.71;54.66;0.08;424.67;51.41;32.78;224.21;214.62;233.8;0.11;983.39;141.77;203.06;793.73;774.25;813.21;68.19;1788.3;287.97;777.99;1605.74;1574.19;1637.28;253.1;3012.39;466.36;1578.8;0.44;0.43;0.45;0.15;0.84;0.12;0.43
Euchloe ausonia;Euchloe ausonia (Hübner, 1806);Pieridae;352;13.83;13.42;14.25;3.25;18.17;2.56;13.99;17.4;17.06;17.74;13.76;22.98;2.09;17.16;734.87;700.2;769.54;436.46;1410.8;212.68;690.39;85.31;79;91.63;25.22;194.4;38.75;79.88;149.59;132.67;166.51;0.97;385.1;103.81;135.83;482.65;448.31;516.99;7.36;911.5;210.68;455.5;1292.2;1239.13;1345.27;169.91;1927.8;325.56;1294.98;2397.02;2323.73;2470.31;599.03;3273.26;449.6;2411.5;0.38;0.36;0.39;0.23;0.62;0.08;0.37
Euchloe bazae;Euchloe bazae (Fabiano, 1993);Pieridae;5;14.1;12.45;15.75;12.27;15.35;1.33;14.67;17.73;17.21;18.25;17.2;18.2;0.42;17.58;478.68;408.33;549.02;407.97;554.93;56.65;465.31;46.95;40.18;53.73;38.37;53.3;5.46;48.22;149.33;80.24;218.43;79.09;208.04;55.65;163.91;508.04;312.58;703.5;301.62;656.9;157.42;577.16;1288;969.24;1606.75;940.25;1516.65;256.72;1417.14;2443.13;2047.74;2838.51;1997.1;2722;318.43;2604.97;0.27;0.25;0.3;0.24;0.3;0.02;0.28
Euchloe belemia;Euchloe belemia (Esper, 1798);Pieridae;63;15.65;15.19;16.11;9.33;18.41;1.83;16.29;15.13;14.53;15.74;9.98;19.17;2.4;15.06;647.11;593.29;700.93;371.92;1302.15;213.69;586.69;95.93;86.87;104.99;36.38;178.41;35.99;99.33;270.5;242.39;298.61;25.53;450.89;111.63;280.09;732.64;675.33;789.96;133.37;1087.91;227.56;772.73;1551.96;1472.94;1630.99;617.55;2042.82;313.79;1656.68;2712.49;2613.65;2811.32;1493.96;3353.42;392.45;2834.17;0.34;0.32;0.37;0.22;0.58;0.09;0.32
Euchloe crameri;Euchloe crameri Butler, 1869;Pieridae;197;12.79;12.35;13.23;2.36;18.41;3.13;12.94;15.78;15.52;16.04;9.98;19.38;1.85;15.89;744.31;711.06;777.56;260.25;1564.51;236.65;711.85;67.51;62.69;72.32;16.83;205.57;34.27;57.15;156.92;140.99;172.85;0.97;450.89;113.35;128.63;469.81;432.89;506.73;5.38;1087.91;262.77;417;1148.39;1088.96;1207.81;135.88;2042.82;422.92;1099.16;2154.59;2069.95;2239.24;513.35;3353.42;602.43;2122.36;0.39;0.37;0.4;0.15;0.68;0.1;0.38
Euchloe insularis;Euchloe insularis (Staudinger, 1861);Pieridae;16;14.73;14.01;15.44;12.27;16.41;1.34;14.67;14.85;14.43;15.26;13.91;16.46;0.77;14.55;693.21;637.28;749.14;472.23;817.49;104.96;692.52;91.26;83.01;99.51;55.64;115.34;15.49;92.76;217.21;186.07;248.35;125.31;317.4;58.44;218.16;569.33;500.39;638.27;353.21;766.57;129.38;570.56;1324.75;1212;1437.51;951.36;1615.1;211.6;1316.44;2430.43;2270.77;2590.09;1888.21;2811.14;299.63;2416.18;0.4;0.37;0.42;0.28;0.45;0.04;0.4
Euchloe penia;Euchloe penia (Freyer, 1851);Pieridae;14;11.8;10.9;12.7;9.74;14.04;1.55;11.29;19.13;18.34;19.93;16.01;20.68;1.38;19.57;654.75;610.32;699.18;543.38;792.3;76.95;661.89;58.25;42.53;73.96;30.84;116.86;27.22;50.87;65.79;41.78;89.8;22.37;138.45;41.58;50.31;309.36;253.06;365.65;199.9;460.47;97.5;285.74;1048.34;951.75;1144.92;848.72;1334.5;167.28;1017.3;2064.76;1924.5;2205.01;1761.57;2494.56;242.91;2017.8;0.31;0.28;0.34;0.24;0.39;0.05;0.29
Euchloe simplonia;Euchloe simplonia (Freyer, 1829);Pieridae;32;6.98;5.81;9.08;0.85;12.52;3.46;7.44;16.01;15.68;16.34;12.75;17.66;0.92;16.01;1121.12;1039.25;1202.99;627.59;1544;227.08;1064.46;66.91;60.27;73.56;41.66;111.63;18.42;63.69;44.05;15.01;73.09;0.78;437.3;80.54;15.38;155.59;83.16;228.03;5.38;1033.83;200.9;87.13;548.29;408.24;688.33;111.96;1937.66;388.43;481.98;1225.05;1003.22;1446.88;372.71;3145.69;615.27;1177.01;0.54;0.5;0.58;0.35;0.79;0.12;0.51
Euchloe tagis;Euchloe tagis (Hübner, 1804]);Pieridae;56;13.68;12.91;14.45;8.68;18.35;2.86;13.5;15.95;15.39;16.51;9.98;19.17;2.08;16.35;709.04;664.24;753.84;427.56;1019.65;167.3;690.29;74.58;67.04;82.11;30.16;137.96;28.14;71.02;184.95;149.52;220.39;25.53;450.89;132.31;144.91;536.51;458.41;614.62;115.39;1064.24;291.66;482.51;1266.61;1150.86;1382.36;547.07;2004.92;432.22;1232.55;2333.58;2178.94;2488.22;1303.63;3353.42;577.43;2322.72;0.37;0.35;0.39;0.26;0.55;0.07;0.36
Euphydryas aurinia;Euphydryas aurinia (Rottemburg, 1775);Nymphalidae;538;9.53;9.27;9.79;1.39;17.72;3.07;9.39;16.6;16.31;16.89;8.58;26.69;3.45;16.86;853.12;827.84;878.39;414.75;2507.04;298.4;765.52;60.62;57.87;63.37;16.83;223.21;32.47;51.16;72.38;65.72;79.05;0.97;437.3;78.72;45.78;256.45;240.05;272.85;5.38;1033.83;193.62;214.58;809.81;782.37;837.25;144.49;1937.66;324.01;754.8;1618.1;1576.14;1660.05;450.03;3145.69;495.39;1539.63;0.47;0.46;0.48;0.21;0.84;0.13;0.44
Euphydryas cynthia;Euphydryas cynthia ([Schiffermüller], 1775);Nymphalidae;58;5.81;5.04;6.59;0.85;13.43;2.95;5.84;17.12;16.71;17.53;14.82;20.7;1.55;16.71;1175.96;1112.24;1239.67;565.4;1577.23;242.31;1193.29;80.71;75.07;86.36;34.83;118.59;21.46;86.02;16.2;9.87;22.53;0.4;141.44;24.07;7.79;94.01;69.66;118.35;3.08;447.03;92.6;67.15;457.16;388.62;525.7;100.8;1156.37;260.68;443.44;1057.53;937.66;1177.4;372.71;2197.03;455.89;1047.33;0.63;0.59;0.67;0.26;0.84;0.14;0.67
Euphydryas desfontainii;Euphydryas desfontainii (Godart, 1819);Nymphalidae;41;13.58;12.85;14.3;9.33;17.04;2.29;13.98;16.09;15.34;16.84;9.98;19.17;2.38;16.55;697.6;614.27;780.93;427.56;1564.51;264;610.75;75.73;62.02;89.43;36.26;205.57;43.41;57.13;171.07;138.01;204.12;25.53;424.67;104.73;152.5;511.05;437.03;585.06;133.37;983.39;234.49;503.86;1226.31;1115.7;1336.92;617.55;1800.75;350.43;1252.89;2294.44;2148.16;2440.72;1484.4;2973.4;463.45;2346.08;0.36;0.32;0.39;0.26;0.61;0.1;0.31
Euphydryas iduna;Euphydryas iduna (Dalman, 1816);Nymphalidae;24;-1.94;-2.37;-1.52;-3.72;0.27;1.02;-2.21;24.79;23.47;26.12;18.72;29.34;3.14;25.19;556.72;497.03;616.4;428.69;1094.37;141.35;520.34;45.37;40.07;50.67;25.45;69.31;12.55;42.78;5.87;3.06;8.68;1.18;29.52;6.66;3.92;9.72;5.64;13.8;1.8;43.3;9.65;7.17;147.37;130.12;164.62;84.53;213.04;40.86;145.3;488.68;444.48;532.88;326.27;660;104.67;484;0.61;0.58;0.64;0.53;0.79;0.07;0.58
Euphydryas intermedia;Euphydryas intermedia (Menetries, 1859);Nymphalidae;28;4.3;3.39;5.2;0.85;9.36;2.34;3.47;16.36;15.96;16.76;14.44;18.49;1.03;16.2;1273.24;1188.19;1358.3;944.01;1782.31;219.35;1271.45;86.19;79.23;93.15;41.66;118.59;17.96;87.52;7.87;4.29;11.45;0.97;39.84;9.24;4.32;50.14;31.17;69.12;6.83;222.09;48.93;30.36;319.87;252.86;386.88;111.96;813.41;172.81;242.43;811.6;684.05;939.15;372.71;1660.46;328.93;669.38;0.69;0.65;0.73;0.43;0.84;0.11;0.71
Euphydryas maturna;Euphydryas maturna (Linnaeus, 1758);Nymphalidae;210;7.64;7.28;8.01;1.15;12.24;2.7;8.23;20.42;20.03;20.8;14.63;27.31;2.85;20.33;715.62;687.74;743.49;424.76;1782.31;204.91;643.27;50.72;48.11;53.33;16.83;141;19.2;48.11;28.87;26.52;31.22;3.52;91.63;17.27;24.92;164.62;150.73;178.51;17.68;357.81;102.07;168.15;719.28;687.58;750.98;178.32;1187.55;233.03;724.11;1502.72;1453.54;1551.89;519.07;2280.62;361.46;1493.06;0.42;0.4;0.43;0.21;0.82;0.1;0.42
Favonius quercus;Favonius quercus (Linnaeus, 1758);Lycaenidae;777;9.49;9.29;9.68;0.85;17.29;2.79;9.09;17.45;17.23;17.67;8.58;24.45;3.11;17.63;783.99;764.71;803.28;424.75;3042.73;273.86;715.34;57.86;55.81;59.91;15.82;242.55;29.15;51.22;62.14;57.5;66.78;0.97;424.67;65.93;37.66;240.84;229.17;252.51;5.38;1017.97;165.72;201.05;817.23;796.55;837.92;111.96;1887.01;293.72;773.39;1643.11;1611;1675.22;372.71;3029.64;455.94;1571.88;0.43;0.42;0.44;0.21;0.82;0.11;0.42
Gegenes nostrodamus;Gegenes nostrodamus (Fabricius, 1793);Hesperiidae;65;15.34;14.87;15.82;8.42;18.41;1.92;15.6;16;15.45;16.55;9.98;21.09;2.21;16.21;648.5;603.43;693.57;323.33;1327.62;181.9;591.72;89.35;80.86;97.85;32.91;183.66;34.27;88.09;230.61;201.88;259.34;13.86;444.92;115.96;208.08;647.21;590.34;704.09;142.64;1087.91;229.52;623.72;1495.42;1422.68;1568.15;689.22;2042.82;293.55;1484.48;2657.58;2566.21;2748.96;1479.94;3353.42;368.77;2672.35;0.36;0.34;0.37;0.19;0.54;0.08;0.35
Gegenes pumilio;Gegenes pumilio (Hoffmannsegg, 1804);Hesperiidae;76;14.79;14.27;15.32;8.68;18.64;2.29;15.29;16.16;15.79;16.53;13.55;20.7;1.63;16.1;766.21;715.56;816.87;447.32;1410.8;221.67;741.37;106.22;97.87;114.57;32.98;196.8;36.53;99.89;198.59;174.09;223.08;16.7;439.37;107.2;200.14;567.02;517.51;616.52;115.39;1017.69;216.65;581.38;1394.44;1320.68;1468.21;547.07;1995.85;322.81;1428.46;2529.76;2430.39;2629.12;1303.63;3293.9;434.85;2591.07;0.4;0.38;0.41;0.24;0.56;0.07;0.38
Glaucopsyche alexis;Glaucopsyche alexis (Poda, 1761);Lycaenidae;609;9.59;9.31;9.88;0.85;18.17;3.59;9.71;18.76;18.54;18.99;9.98;27.17;2.83;18.55;763.99;745.7;782.28;407.97;1782.31;229.82;711.5;61.56;59.3;63.82;16.83;194.4;28.39;54.33;62.97;57.25;68.69;0.78;424.67;71.84;31.81;257.81;242.98;272.64;5.38;983.39;186.36;224.43;869.96;842.06;897.85;111.96;1927.8;350.54;832.65;1738.62;1695.08;1782.16;372.71;3273.26;547.13;1684.86;0.42;0.41;0.43;0.21;0.84;0.11;0.42
Glaucopsyche melanops;Glaucopsyche melanops (Boisduval, 1828);Lycaenidae;103;13.26;12.7;13.82;4.49;18.35;2.86;13.27;15.95;15.56;16.35;9.98;19.17;2;16.26;749.69;696.79;802.59;407.97;1762.13;270.67;685.56;80.69;72.77;88.6;34.1;223.21;40.49;65.97;166.09;144.06;188.12;4.32;437.3;112.7;143.8;496.56;445.77;547.36;15.31;1033.83;259.91;470.18;1199.19;1119.78;1278.59;206.38;2004.92;406.28;1179.54;2242.1;2132.75;2351.45;710.79;3353.42;559.52;2197.03;0.38;0.36;0.4;0.24;0.63;0.1;0.36
Gonepteryx cleopatra;Gonepteryx cleopatra (Linnaeus, 1767);Pieridae;303;13.95;13.65;14.26;3.58;18.64;2.66;14.44;16.07;15.84;16.29;9.98;21.9;1.98;16.01;724.22;700.1;748.34;260.25;1564.51;213.35;681.47;80.8;76.81;84.78;26.81;205.57;35.26;76.14;182.42;169.96;194.88;0.99;450.89;110.21;163.91;532.04;505.18;558.89;5.38;1087.91;237.53;523.98;1293.59;1251.6;1335.59;166.78;2042.82;371.47;1330.09;2377.37;2319.43;2435.31;609.5;3353.42;512.55;2469.38;0.38;0.37;0.39;0.15;0.62;0.09;0.37
Gonepteryx farinosa;Gonepteryx farinosa (Zeller, 1847);Pieridae;50;13.88;13.25;14.5;9.32;18.17;2.19;13.93;17.76;17.27;18.24;14.36;21.09;1.72;17.81;731.14;673.17;789.1;482.4;1410.8;203.95;692.35;96.1;84.19;108;29.63;183.66;41.89;99.35;137.88;112.6;163.16;19.39;362.29;88.95;120.26;464.38;411.23;517.53;157.76;905.19;187.02;450.2;1290.11;1208.94;1371.29;746.1;1924.22;285.63;1312.52;2406.79;2294.86;2518.73;1611.99;3273.26;393.85;2447.99;0.36;0.34;0.38;0.25;0.54;0.07;0.35
Gonepteryx rhamni;Gonepteryx rhamni (Linnaeus, 1758);Pieridae;1177;8.81;8.62;9.01;-1.38;17.93;3.38;8.81;18.38;18.17;18.58;8.58;28.17;3.62;18.41;772.47;757.37;787.57;315.7;2908.6;264.09;697.26;58.63;56.98;60.28;16.83;247.18;28.85;52.28;55.27;51.48;59.07;0.14;448.51;66.39;30.2;223.22;213.38;233.06;0.45;1064.24;172.01;193.24;785.54;767.4;803.69;98.52;1967.07;317.33;750.11;1592.14;1563.73;1620.55;332.55;3207.75;496.82;1540.61;0.43;0.43;0.44;0.15;0.85;0.12;0.43
Hamearis lucina;Hamearis lucina (Linnaeus, 1758);Riodinidae;497;9.11;8.9;9.31;0.85;15.06;2.37;9.27;18.21;17.97;18.45;10;23.91;2.73;18.21;809.9;787.11;832.69;407.97;2507.04;258.57;739.9;57.15;55;59.31;16.83;205.57;24.43;53.06;43.37;40.08;46.67;0.97;249.52;37.38;30.83;216.08;206.38;225.78;6.26;648.21;110.07;205.3;791.84;770.7;812.98;111.96;1474.91;239.87;789.57;1610.48;1576.08;1644.88;372.71;2672.35;390.34;1600.98;0.44;0.43;0.45;0.22;0.82;0.12;0.43
Hesperia comma;Hesperia comma (Linnaeus, 1758);Hesperiidae;807;8.47;8.25;8.69;-3.1;16.97;3.19;8.66;18.43;18.23;18.62;10;27.6;2.81;18.32;769.27;753.26;785.27;315.7;1797.99;231.66;713.95;55.86;54.07;57.65;16.83;205.57;25.89;50.3;44.66;41.35;47.97;0.07;419.28;47.84;28.84;199.17;189.59;208.75;0.3;1013.21;138.6;185.18;745.92;726.1;765.74;84.45;1847.97;286.84;744.76;1534.23;1502.1;1566.37;292.41;2939.64;465.01;1521.78;0.43;0.42;0.44;0.15;0.84;0.12;0.43
Heteropterus morpheus;Heteropterus morpheus (Pallas, 1771);Hesperiidae;270;9.52;9.25;9.78;1.7;14.95;2.18;9.33;18.44;18.1;18.78;10.72;23.89;2.85;18.85;764.79;737.24;792.33;469.8;1782.31;229.86;697.2;51.02;48.72;53.32;19.4;108.2;19.2;47.38;52.21;47.06;57.35;0.97;291.74;42.94;38.08;240.36;226.73;253.99;14.73;705.12;113.78;212.65;850.29;824.81;875.78;149.95;1390.1;212.7;816.57;1698.57;1658.62;1738.51;460.19;2544.75;333.38;1651.71;0.42;0.4;0.43;0.22;0.79;0.1;0.42
Hipparchia aristaeus;Hipparchia aristaeus (Bonelli, 1826);Nymphalidae;13;14.54;13.72;15.36;12.27;16.41;1.35;14.42;14.93;14.47;15.38;13.91;16.46;0.75;14.86;678.07;610.74;745.4;472.23;817.49;111.42;684.02;84.66;75.36;93.96;55.64;111.19;15.39;87.84;208.35;174.29;242.4;125.31;287.25;56.36;215.46;553.01;474.72;631.3;353.21;726.29;129.56;562.19;1299.74;1168.98;1430.51;951.36;1586.63;216.39;1284.15;2396.83;2209.47;2584.19;1888.21;2811.14;310.05;2337.99;0.39;0.36;0.41;0.28;0.45;0.05;0.4
Hipparchia blachieri;Hipparchia blachieri (Fruhstorfer, 1908);Nymphalidae;9;15.79;14.89;16.69;14.37;17.84;1.17;15.68;15.42;14.96;15.89;14.42;16.23;0.61;15.5;610.4;524.54;696.26;484.71;796.75;111.7;572.14;84.2;75.42;92.98;71.18;108.2;11.42;84.38;245.2;184.74;305.66;150.83;384.97;78.65;231.81;638.05;523.02;753.07;449.88;908.77;149.64;609.69;1486.83;1334.95;1638.7;1238.1;1843.4;197.59;1448.31;2671.23;2480.25;2862.2;2362.01;3118.35;248.45;2630.97;0.37;0.33;0.41;0.3;0.46;0.05;0.35
Hipparchia christenseni;Hipparchia christenseni Kudrna, 1977;Nymphalidae;1;17.88;NA;NA;17.88;17.88;NA;17.88;14.53;NA;NA;14.53;14.53;NA;14.53;643.72;NA;NA;643.72;643.72;NA;643.72;135.12;NA;NA;135.12;135.12;NA;135.12;366.04;NA;NA;366.04;366.04;NA;366.04;901.61;NA;NA;901.61;901.61;NA;901.61;1878.38;NA;NA;1878.38;1878.38;NA;1878.38;3153.08;NA;NA;3153.08;3153.08;NA;3153.08;0.33;NA;NA;0.33;0.33;NA;0.33
Hipparchia cretica;Hipparchia cretica (Rebel, 1916);Nymphalidae;9;16.54;15.98;17.11;15.4;18.04;0.74;16.45;14.05;13.75;14.35;13.43;14.69;0.39;14.01;735.73;680.72;790.73;582.85;827.14;71.56;744.38;147.29;136.8;157.77;117.18;162.69;13.64;150.15;299.62;263.41;335.83;239.29;399.94;47.11;289.52;769.18;697.92;840.45;640.86;961.31;92.71;753.7;1672.38;1572.51;1772.24;1465.46;1932.68;129.92;1653.2;2840.59;2710.28;2970.89;2562.35;3178.57;169.52;2810.37;0.38;0.36;0.39;0.32;0.4;0.02;0.38
Hipparchia fagi;Hipparchia fagi (Scopoli, 1763);Nymphalidae;309;10.53;10.24;10.82;0.85;16.54;2.62;10.56;18.26;18;18.52;11.59;23.91;2.32;18.01;833.96;807.12;860.8;424.76;1782.31;239.78;796.75;64.23;61.11;67.36;16.83;183.66;27.93;58.87;63.32;57.17;69.46;0.78;295.31;54.88;41.24;285.13;270.01;300.26;6.83;730.84;135.14;269.52;936.85;907.03;966.67;111.96;1606.57;266.38;933.21;1849.02;1801.25;1896.79;372.71;2831.63;426.78;1858.55;0.43;0.42;0.45;0.21;0.81;0.11;0.43
Hipparchia fatua;Hipparchia fatua (Freyer, 1845);Nymphalidae;48;14.03;13.37;14.69;8.77;18.17;2.28;13.97;17.86;17.33;18.39;13.8;21.49;1.83;17.54;653.13;605.66;700.59;436.46;1316.98;163.46;613.77;84.96;72.44;97.47;26.41;196.8;43.11;79.13;146.66;118.83;174.5;16.7;362.29;95.87;112.74;485.94;428.48;543.41;179.32;905.19;197.91;455.55;1327.01;1241.07;1412.95;789.57;1924.22;295.97;1298.24;2453.82;2336.55;2571.09;1635.28;3273.26;403.85;2424.98;0.34;0.32;0.36;0.23;0.52;0.06;0.33
Hipparchia fidia;Hipparchia fidia (Linnaeus, 1767);Nymphalidae;92;13.55;13.02;14.08;7.44;17.93;2.55;13.7;15.59;15.16;16.02;9.98;19.17;2.08;15.75;729.92;681.11;778.74;260.25;1564.51;235.72;706.86;80.16;71.97;88.35;31.51;205.57;39.55;66.08;180.09;156.07;204.1;17.05;424.67;115.96;151.78;522.07;468.64;575.5;84.87;1017.97;257.99;495.27;1233.77;1154.81;1312.73;485.05;1942.52;381.28;1234.87;2282.15;2178.01;2386.29;1194.66;3207.75;502.88;2284.18;0.38;0.36;0.4;0.15;0.61;0.1;0.38
Hipparchia hermione;Hipparchia hermione (Linnaeus, 1764);Nymphalidae;237;10.34;9.97;10.71;1.28;16.53;2.92;10.16;17.37;17.08;17.66;11.15;23.49;2.28;17.2;810.98;777.63;844.33;372.21;1797.99;260.58;769.98;64.95;60.49;69.41;19;223.21;34.84;55.41;75.23;66.25;84.21;0.4;350.51;70.15;48.51;283.29;260.96;305.63;3.08;878.9;174.54;226.47;883.32;844.82;921.81;100.8;1686.1;300.8;837.5;1770.77;1711.09;1830.45;408.98;2937.75;466.37;1705.9;0.42;0.4;0.43;0.22;0.79;0.11;0.42
Hipparchia leighebi;Hipparchia leighebi Kudrna, 1976;Nymphalidae;1;17.49;NA;NA;17.49;17.49;NA;17.49;14.78;NA;NA;14.78;14.78;NA;14.78;657.61;NA;NA;657.61;657.61;NA;657.61;81.9;NA;NA;81.9;81.9;NA;81.9;358.93;NA;NA;358.93;358.93;NA;358.93;855.63;NA;NA;855.63;855.63;NA;855.63;1778.36;NA;NA;1778.36;1778.36;NA;1778.36;3043.69;NA;NA;3043.69;3043.69;NA;3043.69;0.39;NA;NA;0.39;0.39;NA;0.39
Hipparchia mersina;Hipparchia mersina (Staudinger, 1871);Nymphalidae;3;15.9;14.97;16.83;15.51;16.26;0.37;15.93;17.16;15.36;18.95;16.69;17.99;0.72;16.79;675.65;510.05;841.26;611.18;744.31;66.66;671.47;120.69;65.88;175.5;102.3;145.16;22.06;114.61;209.44;159.95;258.92;195.96;232.32;19.92;200.02;636.98;555.6;718.35;610.57;673.64;32.76;626.72;1574.2;1467.8;1680.6;1526.11;1608.24;42.83;1588.26;2802.82;2601.48;3004.15;2709.87;2858.77;81.05;2839.82;0.36;0.32;0.4;0.35;0.38;0.02;0.36
Hipparchia neomiris;Hipparchia neomiris (Godart, 1823);Nymphalidae;9;14.14;13.09;15.19;12.27;16.17;1.37;14.14;14.92;14.3;15.54;14.12;16.46;0.81;14.58;701.12;625.25;777;570.67;817.49;98.71;701.03;87.27;77.85;96.68;70.49;111.19;12.25;87.84;190.25;146.68;233.82;125.31;286.86;56.69;195.37;510.45;410.4;610.5;353.21;717.78;130.16;521.57;1231.41;1064.69;1398.13;951.36;1567.95;216.89;1234.27;2304.61;2064.87;2544.35;1888.21;2781.54;311.89;2278.2;0.39;0.36;0.42;0.34;0.44;0.04;0.4
Hipparchia pellucida;Hipparchia pellucida (Stauder, 1923);Nymphalidae;2;15.72;13.06;18.38;15.51;15.93;0.3;15.72;17.34;9.1;25.57;16.69;17.99;0.92;17.34;641.33;258.25;1024.4;611.18;671.47;42.64;641.33;108.46;30.22;186.69;102.3;114.61;8.71;108.46;197.99;172.2;223.79;195.96;200.02;2.87;197.99;618.65;516.08;721.21;610.57;626.72;11.42;618.65;1557.19;1162.31;1952.07;1526.11;1588.26;43.95;1557.19;2774.85;1949.3;3600.39;2709.87;2839.82;91.88;2774.85;0.36;0.23;0.48;0.35;0.36;0.01;0.36
Hipparchia semele;Hipparchia semele (Linnaeus, 1758);Nymphalidae;814;9.18;9;9.36;0.85;16.97;2.61;8.96;17.21;16.98;17.44;8.58;24.45;3.35;17.49;817.54;796.31;838.77;392.74;2670.13;308.62;736.61;58.57;56.52;60.62;16.83;206.58;29.8;52.02;56.17;52.35;59.98;0.4;419.28;55.48;36.41;222.68;212.66;232.69;3.08;1013.21;145.62;195.29;775.29;756.79;793.79;100.8;1847.97;268.85;749.32;1576.33;1546.88;1605.78;372.71;2959.43;428.08;1534.66;0.44;0.43;0.45;0.22;0.82;0.12;0.43
Hipparchia senthes;Hipparchia senthes (Fruhstorfer, 1908);Nymphalidae;56;14.13;13.55;14.72;9.78;18.17;2.19;13.97;17.82;17.27;18.38;13.55;21.49;2.08;17.87;630.4;595.32;665.48;436.46;1041.23;130.98;596.67;79.99;70.55;89.42;27.2;163.6;35.24;78.77;150.74;123.91;177.56;19.42;378.86;100.16;116.32;497.2;442.75;551.66;142.88;930.13;203.34;455.55;1345.95;1266.02;1425.88;730.9;1927.8;298.48;1331.14;2476.57;2370.58;2582.56;1618.39;3273.26;395.78;2493.01;0.33;0.32;0.35;0.23;0.49;0.06;0.34
Hipparchia statilinus;Hipparchia statilinus (Hufnagel, 1766);Nymphalidae;360;11.83;11.51;12.14;0.85;17.91;2.99;11.84;17.25;16.99;17.52;9.98;23.89;2.59;17.14;772.31;746.8;797.81;315.7;1762.13;246.07;731.44;67.42;63.68;71.16;19.66;223.21;36.1;56.92;108.2;98.33;118.06;0.78;450.89;95.15;78.03;376.82;354.94;398.71;5.38;1064.24;211.15;335.12;1063.8;1028.22;1099.38;111.96;1967.07;343.27;1048.42;2037.73;1984.89;2090.57;372.71;3176.24;509.77;2049.3;0.4;0.39;0.41;0.15;0.79;0.11;0.39
